"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"80","Cheetostains","1587604745$6.19%1.59b","624","76","88.25%","1,222,392.9",""
"87","Megamanmeat","1554894670$6.06%1.55b","626","61","96.58%","1,197,207.4",""
"85","Gawdspet","1460072473$5.69%1.46b","625","79","98.31%","1,124,198.1",""
"64","Pzyco","1423067954$5.55%1.42b","620","58","97.82%","1,095,706.0",""
"74","Chillzen","1400755960$5.46%1.40b","621","70","98.91%","1,078,526.7",""
"80","Lewinn","1390609076$5.42%1.39b","627","50","93.80%","1,070,714.0",""
"87","Faedoon","1379707037$5.38%1.38b","626","65","97.79%","1,062,319.9",""
"68","Wubwub","1369328684$5.34%1.37b","625","46","97.80%","1,054,328.9",""
"70","Doodlebob","1343660937$5.24%1.34b","620","76","98.78%","1,034,565.8",""
"73","Runalios","1339944539$5.22%1.34b","620","72","98.39%","1,031,704.3",""
"67","Jpmagi","1336443660$5.21%1.34b","629","21","94.06%","1,029,008.8",""
"65","Johnporter","1274065530$4.97%1.27b","619","84","99.03%","980,980.1",""
"45","Gromsir","1168550563$4.56%1.17b","619","46","97.71%","899,737.7",""
"47","Laserdaddy","1167526906$4.55%1.17b","622","41","92.77%","898,949.5",""
"52","Zerkk","1145970413$4.47%1.15b","620","41","96.18%","882,351.9",""
"27","Refeik","990824259$3.86%990.82m","-","30","91.61%","762,895.5",""
"61","Hossmobile","989930503$3.86%989.93m","624","49","71.01%","762,207.3",""
"21","Newstoneform","902731653$3.52%902.73m","-","28","91.00%","695,067.7",""
"37","Notamagee","738312779$2.88%738.31m","624","29","53.00%","568,471.6",""
"79","Mattank","705972477$2.75%705.97m","624","62","92.69%","543,570.9",""
"63","Raydemic","573790792$2.24%573.79m","625","49","95.94%","441,796.2",""
"78","Shiyuan","120695423$0.47%120.70m","628","69","67.84%","92,930.7",""
"39","Sternpriest","98337117$0.38%98.34m","626","28","21.21%","75,715.7",""
"27","Nelzidin","98201512$0.38%98.20m","-","18","83.65%","75,611.3",""
"68","Skaraa","92712267$0.36%92.71m","619","70","88.85%","71,384.8",""