Parse %,Name,Amount,Ilvl,Ilvl %,Active,DPS,Unnamed: 7,Parse %:1,Name:1,Amount:1,Ilvl:1,Ilvl %:1,Active:1,DPS:1,Unnamed: 7:1,Parse %:2,Name:2,Amount:2,Ilvl:2,Ilvl %:2,Active:2,DPS:2,Unnamed: 7:2,Parse %:3,Name:3,Amount:3,Ilvl:3,Ilvl %:3,Active:3,DPS:3,Unnamed: 7:3,Parse %:4,Name:4,Amount:4,Ilvl:4,Ilvl %:4,Active:4,DPS:4,Unnamed: 7:4,Name:3730253802,Refreshed:,Unnamed: 2,Rank,Class,Unnamed: 5,Equipped,Unnamed: 7:2110182725,Unnamed: 8,Spark Items,Upgrade Tracks,Embellishments,Unnamed: 12,Unnamed: 13,Unnamed: 14,Tier Pieces Obtained,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Main Hand,Off Hand,Unnamed: 23,Unnamed: 24,Enchantments,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Jewelry Sockets,Rare Gems,Epic Gem,Crests Earned,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Valorstones,Unnamed: 40,Professions,Unnamed: 42,World Quests Done,Unnamed: 44,Unnamed: 45,Weekly Event Completed,Theater Troupe,Awakening the Machine,Call of the Worldsoul,Worldsoul Memories,Unnamed: 51,Delves Completed,Unnamed: 53,Unnamed: 54,Coffer Keys Obtained,Heroic Dungeons Done,Unnamed: 57,Unnamed: 58,Mythic Dungeons Done,Unnamed: 60,Unnamed: 61,Highest Mythic+ Done,Unnamed: 63,Mythic+ Rating,Unnamed: 65,Raid Bosses Killed,Unnamed: 67,Unnamed: 68,Raid Completions,Unnamed: 70,Ahead of the Curve,Reputations,Unnamed: 73,Council of Dornogal,Assembly of the Deeps,Hallowfall Arathi,Severed Threads,Achievements,Unnamed: 79,Titles Obtained,Unnamed: 81,Mounts Owned,Unnamed: 83,Ansurek Mythic,Toys Owned,Unnamed: 86,Unique Pets Owned,Unnamed: 88,Unnamed: 89,Quests Completed,Unnamed: 91,Dailies Completed,Unnamed: 93,Honor Level,Unnamed: 95,Honorable Kills,Unnamed: 97,Current Ratings (PvP),Unnamed: 99,Unnamed: 100,Unnamed: 101,Highest Ever Ratings (PvP),Unnamed: 103,Unnamed: 104,Games Played This Season (PvP),Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Games Played This Week (PvP),Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Race,Note
78,Gawdspet,2428891635$7.24%2.43b,629,61,98.78%,"1,252,602.0",,82,Gawdspet,463700799$7.84%463.70m,623,66,99.67%,"1,019,427.3",,77,Gawdspet,1876844748$4.93%1.88b,620,58,98.36%,"1,023,708.0",,85,Gawdspet,1460072473$5.69%1.46b,625,79,98.31%,"1,124,198.1",,46,Gawdspet,4581324074$7.65%4.58b,616,74,93.12%,"823,351.3",,Gawdspet,,,Main,,Death Knight,4,631.31,7,3.0,3,636.0,Ascendance,636.0,Writhing Armor Banding,5 / 5,639,639,626,639,626,,,,,,,,,,6 / 6,,,2,101701,1171,1750,778,840,6,24206,Herbalism (100),Alchemy (100),5,10436,13,,,,,4,4,3,75,0,59.0,14,26,0,11,105,0,0,10,10,2592,1,109,3,1,2,10.0,13,44,19.0,23.0,20.0,24.0,12,19070,8,75,22,148,,16,134,20,138,0,10,10791,8,5799,5,52,5,8358,0,0,0,0,9,1500,0,6,0,,,,,,,,,,Blood Elf,
66,Johnporter,2334157732$6.96%2.33b,-,77,97.00%,"1,203,746.8",,33,Johnporter,330354288$5.58%330.35m,619,28,87.94%,"726,270.5",,76,Johnporter,1924532736$5.05%1.92b,618,68,97.85%,"1,049,719.0",,65,Johnporter,1274065530$4.97%1.27b,619,84,99.03%,"980,980.1",,30,Johnporter,1020383070$1.70%1.02b,615,53,22.77%,"183,382.3",,Johnporter,,,Main,,Warlock,15,627.44,7,0.0,5,,-,,-,5 / 5,619,626,626,626,626,,,,,,,,,,6 / 6,,,17,65668,378,558,770,548,22,14705,Enchanting (33),Tailoring (56),17,1447,0,,,,,21,1,25,13,0,13.0,17,22,0,16,65,0,0,11,15,2552,19,72,2,2,0,6.0,20,31,8.0,6.0,5.0,6.0,16,17020,16,61,15,205,,21,90,21,137,0,15,8830,14,4119,1,246,15,438,288,1365,0,0,9,1373,0,1,33,2,31,,,,,,,,Orc,
72,Megamanmeat,2292133586$6.83%2.29b,628,59,93.26%,"1,182,074.6",,63,Megamanmeat,403183637$6.81%403.18m,623,31,92.35%,"886,382.8",,71,Megamanmeat,1759762592$4.62%1.76b,623,33,88.89%,"959,846.6",,87,Megamanmeat,1554894670$6.06%1.55b,626,61,96.58%,"1,197,207.4",,59,Megamanmeat,4756728605$7.94%4.76b,622,59,82.02%,"854,874.8",,Megamanmeat,,,Main,,Rogue,1,632.75,8,3.0,0,636.0,Elemental Focusing Lens,636.0,Elemental Focusing Lens,4 / 5,639,639,626,626,-,,,,,,,,,,6 / 6,,,3,101096,711,843,767,885,17,17549,Blacksmithing (100),Leatherworking (100),27,230,0,,,,,4,4,16,28,0,16.0,9,41,0,2,131,1,10,12,2,2744,12,82,8,2,0,4.0,27,3,12.0,8.0,10.0,7.0,28,5825,28,17,28,42,,27,24,28,26,0,26,2125,28,392,18,8,12,536,0,0,0,0,9,0,0,6,0,,,,,,,,,,Dwarf,
69,Chillzen,2235452489$6.66%2.24b,625,72,92.53%,"1,152,843.6",,40,Chillzen,346838114$5.86%346.84m,621,23,84.27%,"762,509.5",,75,Chillzen,1835397895$4.82%1.84b,620,45,95.82%,"1,001,101.2",,74,Chillzen,1400755960$5.46%1.40b,621,70,98.91%,"1,078,526.7",,41,Chillzen,4077776211$6.81%4.08b,619,51,78.22%,"732,854.1",,Chillzen,,,Main,,Monk,20,625.06,7,1.0,10,619.0,Writhing Armor Banding,,-,4 / 5,-,623,626,639,623,,,,,,,,,,6 / 6,,,18,64072,622,772,719,524,21,15588,Leatherworking (80),Alchemy (28),12,2470,0,,,,,21,1,24,16,0,20.0,11,32,0,15,77,1,10,11,12,2567,15,80,3,2,0,8.0,11,47,18.0,20.0,19.0,20.0,10,20100,13,63,11,234,,15,162,14,201,0,12,10016,10,5541,6,46,23,0,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
51,Pzyco,2006825924$5.98%2.01b,622,59,97.61%,"1,034,938.7",,43,Pzyco,353806562$5.98%353.81m,620,28,99.76%,"777,829.3",,61,Pzyco,1823021752$4.79%1.82b,617,51,98.20%,"994,350.7",,64,Pzyco,1423067954$5.55%1.42b,620,58,97.82%,"1,095,706.0",,36,Pzyco,4327849774$7.23%4.33b,616,65,92.72%,"777,797.1",,Pzyco,,,Main,,Rogue,21,624.88,7,3.0,30,636.0,Ascendance,636.0,Writhing Armor Banding,5 / 5,623,619,619,619,619,,,,,,,,,,6 / 6,,,21,55852,897,1149,741,418,12,20990,Herbalism (100),Alchemy (100),7,4406,2,,,,,21,1,9,45,0,41.0,8,42,0,18,64,0,0,10,23,2422,22,71,3,2,0,5.0,5,60,21.0,21.0,21.0,0.0,3,25080,3,120,5,342,,7,323,4,642,41,7,12907,7,5928,2,78,2,23272,1563,0,0,0,3,1630,1500,2,26,26,,,,,,,,,Undead,
58,Runalios,1980449790$5.90%1.98b,-,74,87.11%,"1,021,336.3",,36,Runalios,349081820$5.90%349.08m,620,19,93.22%,"767,442.2",,77,Runalios,1865315395$4.90%1.87b,620,49,95.98%,"1,017,419.4",,73,Runalios,1339944539$5.22%1.34b,620,72,98.39%,"1,031,704.3",,39,Runalios,4386995136$7.32%4.39b,617,60,88.21%,"788,426.7",,Runalios,,,Main,,Demon Hunter,25,623.94,9,3.0,6,636.0,Ascendance,619.0,Writhing Armor Banding,5 / 5,619,619,626,606,639,,,,,,,,,,6 / 6,,,23,47276,751,1205,800,325,25,12308,Skinning (100),Leatherworking (66),25,584,0,,,,,2,8,12,33,0,23.0,26,0,0,20,61,0,0,10,24,2307,1,109,0,2,0,4.0,26,5,15.0,17.0,14.0,15.0,25,11210,24,37,25,130,,25,47,26,105,4,25,5397,25,935,25,1,22,2,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
38,Laserdaddy,1837466181$5.48%1.84b,624,32,94.41%,"947,598.4",,51,Laserdaddy,382175031$6.46%382.18m,621,33,99.79%,"840,196.3",,66,Laserdaddy,1796249567$4.72%1.80b,620,35,98.62%,"979,748.1",,47,Laserdaddy,1167526906$4.55%1.17b,622,41,92.77%,"898,949.5",,27,Laserdaddy,2710205767$4.52%2.71b,618,36,64.16%,"487,075.6",,Laserdaddy,,,Main,,Paladin,17,627,5,2.0,13,636.0,Ascendance,,-,5 / 5,619,626,626,626,639,,,,,,,,,,5 / 6,,,16,68552,1277,1755,930,492,2,27048,Mining (100),Jewelcrafting (58),3,22190,22,,,,,10,3,6,64,0,58.0,14,26,0,23,44,1,10,11,17,2544,15,80,3,2,0,20.0,2,90,18.0,0.0,0.0,25.0,1,30685,2,123,1,627,,1,513,5,617,101,2,17046,3,21910,3,61,13,502,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
49,Zerkk,1808783758$5.39%1.81b,622,64,84.26%,"932,806.6",,27,Zerkk,301853712$5.10%301.85m,619,20,82.65%,"663,613.1",,62,Zerkk,1589972815$4.17%1.59b,618,50,85.78%,"867,236.3",,52,Zerkk,1145970413$4.47%1.15b,620,41,96.18%,"882,351.9",,22,Zerkk,3345327825$5.58%3.35b,618,31,74.95%,"601,219.2",,Zerkk,,,Main,,Warrior,23,624.44,8,3.0,12,636.0,Ascendance,619.0,Writhing Armor Banding,5 / 5,626,626,626,619,626,,,,,,,,,,6 / 6,,,22,53288,1173,2109,857,330,13,19277,Blacksmithing (100),Mining (100),19,1364,11,,,,,18,2,5,65,1,63.0,23,12,1,26,21,0,0,10,26,2044,4,93,3,2,0,3.0,24,19,21.0,0.0,24.0,0.0,22,13035,18,56,24,134,,11,191,13,210,1,23,6245,23,1140,16,10,14,457,0,0,0,0,9,930,0,6,0,,,,,,,,,,Dracthyr,
43,Notamagee,1595988492$4.76%1.60b,628,41,77.17%,"823,066.1",,56,Notamagee,392380185$6.63%392.38m,622,47,89.09%,"862,631.9",,82,Notamagee,2066167194$5.42%2.07b,622,69,96.31%,"1,126,972.2",,37,Notamagee,738312779$2.88%738.31m,624,29,53.00%,"568,471.6",,34,Notamagee,4162013729$6.95%4.16b,619,62,90.20%,"747,993.2",,Notamagee,,,Main,,Mage,6,631.13,6,3.0,0,636.0,Ascendance,636.0,Writhing Armor Banding,5 / 5,639,626,626,619,639,,,,,,,,,,6 / 6,,,13,89220,390,886,740,770,18,16415,Herbalism (100),Tailoring (95),23,646,0,,,,,21,1,14,32,0,22.0,18,21,0,12,99,0,0,12,1,2755,24,61,0,2,0,5.0,25,7,10.0,9.0,9.0,10.0,26,11065,27,21,27,73,,24,66,19,141,4,24,5998,26,560,18,8,16,431,0,0,0,0,9,0,0,6,0,,,,,,,,,,Orc,
55,Mattank,1090117010$3.25%1.09b,626,39,96.73%,"562,183.5",,73,Mattank,216392648$3.66%216.39m,623,44,96.39%,"475,730.4",,80,Mattank,937946103$2.46%937.95m,622,55,98.15%,"511,594.2",,79,Mattank,705972477$2.75%705.97m,624,62,92.69%,"543,570.9",,66,Mattank,2279140467$3.80%2.28b,619,54,92.12%,"409,605.0",,Mattank,,,Main,,Paladin,7,630.69,6,2.0,3,636.0,Elemental Focusing Lens,636.0,Elemental Focusing Lens,4 / 5,-,632,626,626,639,,,,,,,,,,6 / 6,,,7,96174,939,1565,791,795,8,22076,Blacksmithing (100),Jewelcrafting (100),11,2570,0,,,,,10,3,4,70,0,49.0,18,21,0,8,114,0,0,12,19,2511,8,90,3,2,0,7.0,8,55,18.0,19.0,17.0,18.0,14,17855,11,66,18,176,,10,196,15,199,3,13,9432,12,4329,21,4,7,2219,0,0,0,0,8,288,732,6,0,,,,,,,,,,Tauren,
45,Raydemic,927844064$2.76%927.84m,629,22,96.69%,"478,497.8",,42,Raydemic,192123867$3.25%192.12m,625,19,94.05%,"422,376.5",,71,Raydemic,875040797$2.30%875.04m,625,40,98.17%,"477,283.1",,63,Raydemic,573790792$2.24%573.79m,625,49,95.94%,"441,796.2",,33,Raydemic,2081092860$3.47%2.08b,624,26,93.63%,"374,012.1",,Raydemic,,,Main,,Death Knight,7,630.69,8,2.0,3,636.0,Dawnthread Lining,636.0,Dawnthread Lining,5 / 5,606,639,626,619,626,,,,,,,,,,6 / 6,,,10,94970,930,998,735,817,5,25266,Blacksmithing (100),Jewelcrafting (100),26,393,0,,,,,21,1,18,25,0,9.0,3,58,0,1,181,0,0,12,3,2729,9,86,3,2,0,3.0,14,42,13.0,10.0,12.0,0.0,24,12810,9,72,12,223,,28,0,10,251,7,28,0,21,2024,16,10,1,27500,0,96,0,0,3,1590,1500,5,1,,1,,,,,,,,Troll,
74,Shiyuan,159658961$0.48%159.66m,630,67,62.13%,"82,337.6",,74,Shiyuan,24447555$0.41%24.45m,626,66,57.88%,"53,747.0",,66,Shiyuan,126350796$0.33%126.35m,625,58,72.47%,"68,916.9",,78,Shiyuan,120695423$0.47%120.70m,628,69,67.84%,"92,930.7",,64,Shiyuan,227700704$0.38%227.70m,622,62,49.12%,"40,922.2",,Shiyuan,,,Main,,Shaman,4,631.31,6,2.0,0,636.0,Ascendance,636.0,Writhing Armor Banding,4 / 5,626,626,639,639,-,,,,,,,,,,6 / 6,,,6,98080,630,1070,810,840,14,18953,Blacksmithing (93),Mining (100),10,3076,0,,,,,18,2,19,23,0,25.0,13,28,0,4,128,0,0,11,7,2667,19,72,3,2,0,5.0,17,39,16.0,17.0,17.0,18.0,17,16845,13,63,17,177,,14,164,17,169,0,16,8635,16,3399,12,17,10,728,0,0,0,0,9,0,0,4,2,,2,,,,,,,,Tauren,
28,Sternpriest,139475533$0.42%139.48m,628,25,28.87%,"71,928.8",,53,Sternpriest,42827340$0.72%42.83m,623,46,22.01%,"94,154.2",,27,Sternpriest,101175553$0.27%101.18m,622,20,21.20%,"55,185.3",,39,Sternpriest,98337117$0.38%98.34m,626,28,21.21%,"75,715.7",,22,Sternpriest,298541032$0.50%298.54m,619,23,21.49%,"53,653.5",,Sternpriest,,,Main,,Priest,11,630.25,7,2.0,7,636.0,Ascendance,,-,4 / 5,-,639,626,639,626,,,,,,,,,,6 / 6,,,12,91946,736,1216,763,775,11,21003,Enchanting (100),Alchemy (72),2,31088,5,,,,,1,15,7,55,0,51.0,12,31,0,14,85,0,0,11,11,2576,9,86,3,2,0,8.0,7,56,24.0,24.0,24.0,0.0,6,23155,6,86,6,319,,4,334,8,449,89,5,13947,1,45621,14,12,23,0,0,0,0,0,9,0,0,6,0,,,,,,,,,,Dracthyr,
15,Nelzidin,130585582$0.39%130.59m,627,6,74.64%,"67,344.2",,23,Nelzidin,26205077$0.44%26.21m,620,11,62.42%,"57,610.8",,33,Nelzidin,125735490$0.33%125.74m,618,22,81.88%,"68,581.3",,27,Nelzidin,98201512$0.38%98.20m,-,18,83.65%,"75,611.3",,18,Nelzidin,299697566$0.50%299.70m,616,24,72.65%,"53,861.4",,Nelzidin,,,Main,,Paladin,12,628.81,7,0.0,0,,-,,-,5 / 5,626,626,626,626,626,,,,,,,,,,6 / 6,,,4,100341,1001,1648,810,830,4,25354,Blacksmithing (100),Mining (100),6,6237,0,,,,,4,4,2,97,0,49.0,6,44,0,7,122,0,0,10,20,2506,17,79,3,2,0,20.0,10,48,19.0,18.0,19.0,24.0,4,24275,7,84,13,220,,4,334,9,382,1,4,15118,6,7617,22,3,18,332,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
49,Skaraa,127635415$0.38%127.64m,623,46,76.19%,"65,822.8",,60,Skaraa,30281029$0.51%30.28m,619,60,84.23%,"66,571.6",,71,Skaraa,140747284$0.37%140.75m,617,63,92.36%,"76,769.3",,68,Skaraa,92712267$0.36%92.71m,619,70,88.85%,"71,384.8",,37,Skaraa,246538873$0.41%246.54m,617,46,82.53%,"44,307.7",,Skaraa,,,Main,,Druid,15,627.44,7,0.0,10,,-,,-,5 / 5,632,626,626,626,632,,,,,,,,,,6 / 6,,,15,76865,1305,1916,788,581,1,39022,Herbalism (105),Mining (100),1,43791,11,,,,,10,3,1,103,0,66.0,2,63,0,16,65,5,10,12,13,2557,7,91,8,2,0,5.0,1,92,0.0,0.0,0.0,0.0,5,23910,4,106,3,383,,3,398,3,702,189,1,17132,2,30872,10,22,20,51,0,0,0,0,9,0,0,6,0,,,,,,,,,,Tauren,
