,Refreshed:,,Rank,Class,,Equipped,,,Spark Items,Upgrade Tracks,Embellishments,,,,Tier Pieces Obtained,,,,,,Main Hand,Off Hand,,,Enchantments,,,,,Jewelry Sockets,Rare Gems,Epic Gem,Crests Earned,,,,,,Valorstones,,Professions,,World Quests Done,,,Weekly Event Completed,Theater Troupe,Awakening the Machine,Call of the Worldsoul,Worldsoul Memories,,Delves Completed,,,Coffer Keys Obtained,Heroic Dungeons Done,,,Mythic Dungeons Done,,,Highest Mythic+ Done,,Mythic+ Rating,,Raid Bosses Killed,,,Raid Completions,,Ahead of the Curve,Reputations,,Council of Dornogal,Assembly of the Deeps,Hallowfall Arathi,Severed Threads,Achievements,,Titles Obtained,,Mounts Owned,,Ansurek Mythic,Toys Owned,,Unique Pets Owned,,,Quests Completed,,Dailies Completed,,Honor Level,,Honorable Kills,,Current Ratings (PvP),,,,Highest Ever Ratings (PvP),,,Games Played This Season (PvP),,,,,,Games Played This Week (PvP),,,,,Race,Note
,13/11 18:10,,,,,Rank,Item level,Sockets,,Missing,,First,,Second,Set,Helm,Shoulder,Chest,Gloves,Legs,,,Cloak,Chest,Wrists,Legs,Feet,Ring 1,Ring 2,,,,Rank,Score,Weathered,Carved,Runed,Gilded,Rank,Earned,First,Second,Rank,Overall,This Week,,,,,Rank,Completed,Rank,Season,This Week,,Rank,Season,This Week,Rank,Season,This Week,This Week,This Season,Rank,Overall,Rank,Overall,This Week,Rank,Cutting Edge,,Rank,Exalted,,,,,Rank,Total,Rank,Total,Rank,Total,,Rank,Total,Rank,Total,Lvl 25,Rank,Overall,Rank,Overall,Rank,Level,Rank,Amount,Solo,2v2,3v3,RBG,Rank,2v2,3v3,Rank,Total,Solo,2v2,3v3,RBG,Total,Solo,2v2,3v3,RBG,,
Megamanmeat,,,Main,,Rogue,1,632.75,8,3,0,636,Elemental Focusing Lens,636,Elemental Focusing Lens,4 / 5,639,639,626,626,-,,,,,,,,,,6 / 6,,,3,101096,711,843,767,885,17,17549,Blacksmithing (100),Leatherworking (100),27,230,0,,,,,4,4,16,28,0,16,9,41,0,2,131,1,10,12,2,2744,12,82,8,2,0,4,27,3,12,8,10,7,28,5825,28,17,28,42,,27,24,28,26,0,26,2125,28,392,18,8,12,536,0,0,0,0,9,0,0,6,0,,,,,,,,,,Dwarf,
Lewinn,,,Main,,Warrior,2,631.88,7,2,0,619,Duskthread Lining,636,Duskthread Lining,5 / 5,639,639,626,626,639,,,,,,,,,,6 / 6,,,1,103305,725,974,771,900,3,25862,Enchanting (25),Alchemy (25),13,"2,408",0,,,,,4,4,19,23,0,20,1,99,0,5,127,2,10,12,5,2685,18,78,3,2,0,9,12,46,15,14,11,14,18,16635,23,40,21,153,,17,126,22,134,0,14,9335,17,3370,11,20,4,22734,0,0,0,0,3,1500,1500,6,0,,,,,,,,,,Dracthyr,
Jpmagi,,,Main,,Mage,3,631.50,8,4,9,636,Ascendance,636,Writhing Armor Banding,4 / 5,-,623,639,639,626,,,,,,,,,,6 / 6,,,11,93633,583,996,717,809,16,17901,Tailoring (100),Inscription (100),24,633,0,,,,,10,3,15,29,0,24,21,16,0,3,130,0,0,12,4,2711,19,72,0,2,0,4,23,20,10,12,9,0,23,12950,25,31,20,160,,23,67,18,144,0,22,7216,24,1115,24,2,19,86,0,0,0,0,9,0,0,6,0,,,,,,,,,,Dracthyr,
Gawdspet,,,Main,,Death Knight,4,631.31,7,3,3,636,Ascendance,636,Writhing Armor Banding,5 / 5,639,639,626,639,626,,,,,,,,,,6 / 6,,,2,101701,1171,1750,778,840,6,24206,Herbalism (100),Alchemy (100),5,"10,436",13,,,,,4,4,3,75,0,59,14,26,0,11,105,0,0,10,10,2592,1,109,3,1,2,10,13,44,19,23,20,24,12,19070,8,75,22,148,,16,134,20,138,0,10,10791,8,5799,5,52,5,8358,0,0,0,0,9,1500,0,6,0,,,,,,,,,,Blood Elf,
Shiyuan,,,Main,,Shaman,4,631.31,6,2,0,636,Ascendance,636,Writhing Armor Banding,4 / 5,626,626,639,639,-,,,,,,,,,,6 / 6,,,6,98080,630,1070,810,840,14,18953,Blacksmithing (93),Mining (100),10,"3,076",0,,,,,18,2,19,23,0,25,13,28,0,4,128,0,0,11,7,2667,19,72,3,2,0,5,17,39,16,17,17,18,17,16845,13,63,17,177,,14,164,17,169,0,16,8635,16,3399,12,17,10,728,0,0,0,0,9,0,0,4,2,,2,,,,,,,,Tauren,
Notamagee,,,Main,,Mage,6,631.13,6,3,0,636,Ascendance,636,Writhing Armor Banding,5 / 5,639,626,626,619,639,,,,,,,,,,6 / 6,,,13,89220,390,886,740,770,18,16415,Herbalism (100),Tailoring (95),23,646,0,,,,,21,1,14,32,0,22,18,21,0,12,99,0,0,12,1,2755,24,61,0,2,0,5,25,7,10,9,9,10,26,11065,27,21,27,73,,24,66,19,141,4,24,5998,26,560,18,8,16,431,0,0,0,0,9,0,0,6,0,,,,,,,,,,Orc,
Mattank,,,Main,,Paladin,7,630.69,6,2,3,636,Elemental Focusing Lens,636,Elemental Focusing Lens,4 / 5,-,632,626,626,639,,,,,,,,,,6 / 6,,,7,96174,939,1565,791,795,8,22076,Blacksmithing (100),Jewelcrafting (100),11,"2,570",0,,,,,10,3,4,70,0,49,18,21,0,8,114,0,0,12,19,2511,8,90,3,2,0,7,8,55,18,19,17,18,14,17855,11,66,18,176,,10,196,15,199,3,13,9432,12,4329,21,4,7,2219,0,0,0,0,8,288,732,6,0,,,,,,,,,,Tauren,
Raydemic,,,Main,,Death Knight,7,630.69,8,2,3,636,Dawnthread Lining,636,Dawnthread Lining,5 / 5,606,639,626,619,626,,,,,,,,,,6 / 6,,,10,94970,930,998,735,817,5,25266,Blacksmithing (100),Jewelcrafting (100),26,393,0,,,,,21,1,18,25,0,9,3,58,0,1,181,0,0,12,3,2729,9,86,3,2,0,3,14,42,13,10,12,0,24,12810,9,72,12,223,,28,0,10,251,7,28,0,21,2024,16,10,1,27500,0,96,0,0,3,1590,1500,5,1,,1,,,,,,,,Troll,
Wubwub,,,Main,,Shaman,7,630.69,8,4,5,636,Vivacity,636,Dawnthread Lining,5 / 5,626,629,619,626,639,,,,,,,,,,6 / 6,,,8,95611,621,778,810,830,9,21996,Enchanting (100),Alchemy (100),18,"1,404",1,,,,,10,3,19,23,0,23,7,43,0,6,123,0,0,12,6,2680,23,67,6,2,0,7,16,40,17,15,14,13,20,15885,13,63,16,180,,22,87,24,126,0,18,8281,22,1522,25,1,17,400,0,0,0,0,3,0,1500,6,0,,,,,,,,,,Dwarf,
Hossmobile,,,Main,,Warrior,10,630.50,6,3,0,636,Ascendance,636,Writhing Armor Banding,5 / 5,626,639,626,639,639,,,,,,,,,,6 / 6,,,5,98776,781,1379,770,834,10,21255,Blacksmithing (100),Jewelcrafting (98),21,"1,184",0,,,,,4,4,8,52,0,37,16,24,0,10,106,0,0,12,9,2611,12,82,3,2,0,6,19,33,23,16,14,16,15,17085,20,54,14,207,,20,95,7,480,36,11,10341,19,3116,8,26,6,4083,0,0,0,0,1,1500,1806,6,0,,,,,,,,,,Orc,
Sternpriest,,,Main,,Priest,11,630.25,7,2,7,636,Ascendance,,-,4 / 5,-,639,626,639,626,,,,,,,,,,6 / 6,,,12,91946,736,1216,763,775,11,21003,Enchanting (100),Alchemy (72),2,"31,088",5,,,,,1,15,7,55,0,51,12,31,0,14,85,0,0,11,11,2576,9,86,3,2,0,8,7,56,24,24,24,0,6,23155,6,86,6,319,,4,334,8,449,89,5,13947,1,45621,14,12,23,0,0,0,0,0,9,0,0,6,0,,,,,,,,,,Dracthyr,
Nelzidin,,,Main,,Paladin,12,628.81,7,0,0,,-,,-,5 / 5,626,626,626,626,626,,,,,,,,,,6 / 6,,,4,100341,1001,1648,810,830,4,25354,Blacksmithing (100),Mining (100),6,"6,237",0,,,,,4,4,2,97,0,49,6,44,0,7,122,0,0,10,20,2506,17,79,3,2,0,20,10,48,19,18,19,24,4,24275,7,84,13,220,,4,334,9,382,1,4,15118,6,7617,22,3,18,332,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
Faedoon,,,Main,,Evoker,13,628.38,7,1,6,619,Bind Binding of Binding,,-,5 / 5,619,626,626,626,639,,,,,,,,,,6 / 6,,,14,87175,850,1355,765,719,15,18554,Enchanting (100),Alchemy (100),22,851,0,,,,,28,0,17,27,0,35,10,37,0,13,89,0,0,11,8,2648,5,92,3,2,0,4,5,60,14,19,13,15,21,14905,17,59,9,266,,18,114,16,177,6,20,7839,15,3720,22,3,21,3,0,0,0,0,9,0,0,6,0,,,,,,,,,,Dracthyr,
Cheetostains,,,Main,,Hunter,14,627.81,6,2,9,636,Dawnthread Lining,636,Dawnthread Lining,5 / 5,626,626,639,626,639,,,,,,,,,,4 / 6,,,9,95266,871,1449,955,776,7,22216,Herbalism (87),Mining (100),9,"3,487",0,,,,,18,2,9,45,0,28,4,51,1,9,110,0,0,11,13,2557,3,98,3,2,0,9,9,49,12,14,14,12,11,19170,11,66,10,237,,9,207,11,231,14,19,8141,9,5704,14,12,8,1485,0,0,0,0,9,0,0,6,0,,,,,,,,,,Void Elf,
Johnporter,,,Main,,Warlock,15,627.44,7,0,5,,-,,-,5 / 5,619,626,626,626,626,,,,,,,,,,6 / 6,,,17,65668,378,558,770,548,22,14705,Enchanting (33),Tailoring (56),17,"1,447",0,,,,,21,1,25,13,0,13,17,22,0,16,65,0,0,11,15,2552,19,72,2,2,0,6,20,31,8,6,5,6,16,17020,16,61,15,205,,21,90,21,137,0,15,8830,14,4119,1,246,15,438,288,1365,0,0,9,1373,0,1,33,2,31,,,,,,,,Orc,
Skaraa,,,Main,,Druid,15,627.44,7,0,10,,-,,-,5 / 5,632,626,626,626,632,,,,,,,,,,6 / 6,,,15,76865,1305,1916,788,581,1,39022,Herbalism (105),Mining (100),1,"43,791",11,,,,,10,3,1,103,0,66,2,63,0,16,65,5,10,12,13,2557,7,91,8,2,0,5,1,92,0,0,0,0,5,23910,4,106,3,383,,3,398,3,702,189,1,17132,2,30872,10,22,20,51,0,0,0,0,9,0,0,6,0,,,,,,,,,,Tauren,
Laserdaddy,,,Main,,Paladin,17,627.00,5,2,13,636,Ascendance,,-,5 / 5,619,626,626,626,639,,,,,,,,,,5 / 6,,,16,68552,1277,1755,930,492,2,27048,Mining (100),Jewelcrafting (58),3,"22,190",22,,,,,10,3,6,64,0,58,14,26,0,23,44,1,10,11,17,2544,15,80,3,2,0,20,2,90,18,0,0,25,1,30685,2,123,1,627,,1,513,5,617,101,2,17046,3,21910,3,61,13,502,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
Timetofist,,,Main,,Priest,18,626.31,7,3,7,636,Ascendance,636,Writhing Armor Banding,4 / 5,629,626,626,626,-,,,,,,,,,,6 / 6,,,20,58430,185,405,562,506,27,9728,Enchanting (48),Tailoring (50),8,"3,692",0,,,,,21,1,27,3,0,5,25,2,0,22,49,2,10,11,18,2543,26,50,3,2,0,10,18,37,10,10,8,0,13,18065,21,48,19,166,,13,169,23,128,0,6,13494,13,4260,12,17,23,0,0,0,0,0,9,0,0,6,0,,,,,,,,,,Mag'har Orc,
Refeik,,,Main,,Death Knight,19,625.44,7,0,21,,-,,-,5 / 5,639,632,619,619,619,,,,,,,,,,6 / 6,,,24,46736,566,1102,806,326,19,16337,Blacksmithing (51),Mining (100),16,"1,745",1,,,,,10,3,22,22,0,25,22,13,0,24,41,1,10,11,22,2461,12,82,0,2,0,11,22,21,12,9,10,10,19,16200,21,48,23,139,,19,102,25,121,0,21,7507,20,2901,9,24,3,22960,0,0,0,0,3,1544,1500,3,3,,,,3,,,,,,Orc,
Chillzen,,,Main,,Monk,20,625.06,7,1,10,619,Writhing Armor Banding,,-,4 / 5,-,623,626,639,623,,,,,,,,,,6 / 6,,,18,64072,622,772,719,524,21,15588,Leatherworking (80),Alchemy (28),12,"2,470",0,,,,,21,1,24,16,0,20,11,32,0,15,77,1,10,11,12,2567,15,80,3,2,0,8,11,47,18,20,19,20,10,20100,13,63,11,234,,15,162,14,201,0,12,10016,10,5541,6,46,23,0,0,0,0,0,9,0,0,6,0,,,,,,,,,,Blood Elf,
Pzyco,,,Main,,Rogue,21,624.88,7,3,30,636,Ascendance,636,Writhing Armor Banding,5 / 5,623,619,619,619,619,,,,,,,,,,6 / 6,,,21,55852,897,1149,741,418,12,20990,Herbalism (100),Alchemy (100),7,"4,406",2,,,,,21,1,9,45,0,41,8,42,0,18,64,0,0,10,23,2422,22,71,3,2,0,5,5,60,21,21,21,0,3,25080,3,120,5,342,,7,323,4,642,41,7,12907,7,5928,2,78,2,23272,1563,0,0,0,3,1630,1500,2,26,26,,,,,,,,,Undead,
Doodlebob,,,Main,,Mage,22,624.50,7,4,21,636,Ascendance,636,Writhing Armor Banding,4 / 5,-,623,619,623,626,,,,,,,,,,6 / 6,,,19,58758,328,996,665,468,24,12599,Enchanting (1),Mining (89),28,110,0,,,,,10,3,26,10,0,8,24,3,0,21,58,1,10,10,16,2547,5,92,3,2,0,3,27,3,10,6,7,10,27,10420,26,28,26,119,,26,46,27,64,0,27,1938,27,466,6,46,11,569,0,0,0,0,9,0,0,6,0,,,,,,,,,,Mechagnome,
Zerkk,,,Main,,Warrior,23,624.44,8,3,12,636,Ascendance,619,Writhing Armor Banding,5 / 5,626,626,626,619,626,,,,,,,,,,6 / 6,,,22,53288,1173,2109,857,330,13,19277,Blacksmithing (100),Mining (100),19,"1,364",11,,,,,18,2,5,65,1,63,23,12,1,26,21,0,0,10,26,2044,4,93,3,2,0,3,24,19,21,0,24,0,22,13035,18,56,24,134,,11,191,13,210,1,23,6245,23,1140,16,10,14,457,0,0,0,0,9,930,0,6,0,,,,,,,,,,Dracthyr,
